"INSTRUCTIONS
1) The DPs reported in ESRS S2 are subject to Materiality Assessment.
2) Not all DPs are to be reported if the undertaking has not adopted the respective policies, implemented the respective actions or set the respective targets in relation to  a sustainability matter that has been assessed to be material [see ESRS 1 par. 33].
3) Undertakings or groups not exceeding on their balance sheet dates the average number of 750 employees during the financial year (on a consolidated basis where applicable) may omit all the DPs reported in ESRS S2 for the first 2 years of preparation of their sustainability statement [see ESRS 1 Appendix C: List of phased-in Disclosure Requirements].  If S2 is material, the undertaking shall nevertheless disclose DPs reported under par. 17-BP2 of ESRS 2 [see column K]
4) Column L is not applicable as there are not DPs subject to phased-in [see Appendix C of ESRS 1].
5) Metrics to be disclosed, in addition to the ones explicitly requried by ESRS, also include entity-specific ones, as well as those arising from other legislation or standard.";;;;;;;;;;;
ID;ESRS;DR;Paragraph;Related AR;Name;Data Type;Conditional or alternative DP;"May 
[V]";"Appendix B - ESRS 2 
(SFDR + PILLAR 3 + Benchmark + CL)";"Appendix C - ESRS 1
DPs subject to phasing-in provisions applicable to undertaking with less than 750 employees";"Appendix C - ESRS 1
DPs subject to phasing-in provisions applicable to all undertakings "
S2.SBM-3_01;S2;S2.SBM-3;11;AR 6 - AR 7;All value chain workers  who can be materially impacted by undertaking are included in scope of disclosure under ESRS 2;semi-narrative;;;;2 years;
S2.SBM-3_02;S2;S2.SBM-3;11 a;;Description of types of value chain workers subject to material impacts;narrative;;;;2 years;
S2.SBM-3_03;S2;S2.SBM-3;11 a i-v;;Type of value chain workers subject to material impacts by own operations or through value chain;semi-narrative;;;;2 years;
S2.SBM-3_04;S2;S2.SBM-3;11 b;;Disclosure of geographies or commodities for which there is significant risk of child labour, or of forced or compulsory labour, among workers in undertaking’s value chain ;narrative;;;SFDR;2 years;
S2.SBM-3_05;S2;S2.SBM-3;11 c;;Material negative impacts occurrence (value chain workers);semi-narrative;Conditional;;;2 years;
S2.SBM-3_06;S2;S2.SBM-3;11 d;;Description of activities that result in positive impacts and types of value chain workers  that are positively affected or could be positively affected ;narrative;Conditional;;;2 years;
S2.SBM-3_07;S2;S2.SBM-3;11 e;;Description of material risks and opportunities arising from impacts and dependencies on  value chain workers  ;narrative;;;;2 years;
S2.SBM-3_08;S2;S2.SBM-3;12;AR 8;Disclosure of whether and how the undertaking has developed an understanding of how workers with particular characteristics, those working in particular contexts, or those undertaking particular activities may be at greater risk of harm.;narrative;;;;2 years;
S2.SBM-3_09;S2;S2.SBM-3;13;AR 9;Disclosure of which of material risks and opportunities arising from impacts and dependencies on value chain workers  are impacts on specific groups ;narrative;;;;2 years;
S2.MDR-P_01-06;S2;S2-1;16;AR 10, AR 13;Policies to manage material impacts, risks and opportunities related to value chain workers [see ESRS 2 MDR-P];MDR-P;;;;2 years;
